component,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19
profile_0,0.01684910,0.14001304,0.01290920,0.01237544,0.01645258,0.05553879,0.03475441,0.03125403,0.13298100,0.02930055,0.01415328,0.02575846,0.10734869,0.01088356,0.11808638,0.02167631,0.10043700,0.06591354,0.04496461,0.00835005
profile_1,0.14797909,0.01427687,0.00922546,0.08165816,0.01647385,0.00003461,0.01841413,0.12497170,0.03470754,0.01518619,0.00414584,0.01383831,0.00004894,0.07346143,0.01487779,0.02111837,0.00886797,0.36932310,0.02122538,0.01016528
profile_2,0.01413313,0.00001534,0.07409537,0.00029456,0.04883858,0.01096522,0.17355565,0.02130344,0.01928791,0.16576741,0.07817782,0.12736436,0.00974551,0.00642262,0.01729407,0.11253692,0.01865603,0.02239357,0.02230303,0.05684948
